,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
170,0.4739555,0.4372625625,0.93,0.1,100,0.3,6.999999999999995,-3.205370604947203,0.5195355661291575,0.9991142721864169,-3.506557897319982,-3.1141959239499015,0.4628886134563333,0.9989169171460172
171,0.3700676875,0.5729481875,0.93,0.1,120,0.16,8.399999999999995,-4.662991196016724,0.7171179495092952,0.9983401817481311,-4.135166556742356,-4.697133412275339,0.7235207077950501,0.997905720276036
172,0.42489940625,0.50849034375,0.93,0.1,120,0.2,8.399999999999995,-4.178737078883264,0.6853126016126485,0.9989562893291696,-3.912023005428146,-4.07019626158994,0.6203758591638071,0.9960939654666836
173,0.5217216875,0.3882345625,0.93,0.1,120,0.3,8.399999999999995,-3.4223152529609377,0.5940895274015259,0.9986660561885384,-3.506557897319982,-3.289712969580071,0.5049641660151539,0.9983238632578353
174,0.477168875,0.46348875,0.93,0.1,180,0.16,12.59999999999999,-5.507679701490649,0.9299576933059224,0.9978479927938331,-4.135166556742356,-5.60106108613448,0.9680967452722421,0.9941112281245855
175,0.5309861875,0.400025,0.93,0.1,180,0.2,12.59999999999999,-4.844974607146426,0.8457367584032104,0.9980833490957033,-3.912023005428146,-4.707155151624374,0.7634452713257329,0.9934152616307135
176,0.6154890625,0.29241890625,0.93,0.1,180,0.3,12.59999999999999,-3.932990786750696,0.715372040929207,0.9979031704435972,-3.506557897319982,-3.7102633672913523,0.5654406549601981,0.9977946705240442
177,0.50496134375,0.43522084375,0.93,0.1,200,0.16,13.99999999999999,-5.6897630615721555,0.9556384159798333,0.9978008589681856,-4.135166556742356,-5.652610462010314,0.9231775383185248,0.9891663333026246
178,0.5569495,0.3735961875,0.93,0.1,200,0.2,13.99999999999999,-5.052607414230393,0.8920348929150057,0.9979246649584482,-3.912023005428146,-4.91347697168119,0.8151521272743704,0.9950701565700756
179,0.637928125,0.269724375,0.93,0.1,200,0.3,13.99999999999999,-4.0447567209347595,0.7243033302456929,0.9976954917129551,-3.506557897319982,-3.838472325064236,0.5847976978752256,0.9961639351231879
180,0.1517770625,0.7046785,0.93,0.5,50,0.16,3.4999999999999973,-3.4264781284670653,0.044434098187386264,0.9988319712344268,-2.5257286443082556,-3.3816955651831355,-0.0021064688716517267,0.9965257865230482
181,0.17993525,0.6414579375,0.93,0.5,50,0.2,3.4999999999999973,-3.137535127908567,0.07130728088479782,0.9983960405087471,-2.3025850929940455,-3.1782756824276883,0.09054472973028736,0.9969725332856759
182,0.23085553125,0.5054698125,0.93,0.5,50,0.3,3.4999999999999973,-2.6149494486334004,0.03796581371640181,0.9992171916719824,-1.8971199848858813,-2.8174335979659,0.18428160179153844,0.9971187568404564
183,0.280198625,0.5530650625,0.93,0.5,100,0.16,6.999999999999995,-4.629626518042082,0.6019185609853189,0.9985403356921797,-2.5257286443082556,-4.642454334126847,0.6028686563645289,0.9946436167792903
184,0.317534625,0.47723253125,0.93,0.5,100,0.2,6.999999999999995,-4.119992638682188,0.5445652633890972,0.9989626692449837,-2.3025850929940455,-4.143044218581332,0.5532360872861943,0.9965701310606594
185,0.37725409375,0.3324201875,0.93,0.5,100,0.3,6.999999999999995,-3.5204259559559183,0.48516751011243353,0.9990908844529964,-1.8971199848858813,-3.4753535774104725,0.4550009469105201,0.9984145389585253
186,0.3221385625,0.50575359375,0.93,0.5,120,0.16,8.399999999999995,-5.088323578198328,0.7500582140422274,0.9982611783383109,-2.5257286443082556,-4.849082091513119,0.6481071574883586,0.9945662250537682
187,0.361019625,0.4284923125,0.93,0.5,120,0.2,8.399999999999995,-4.4903318523352675,0.6708888165755924,0.9986545959554616,-2.3025850929940455,-4.394792803986435,0.6159076890036008,0.9977590708732778
188,0.4169015625,0.28956046875,0.93,0.5,120,0.3,8.399999999999995,-3.7821342716157496,0.5659182047009486,0.9986162804973986,-1.8971199848858813,-3.6310053340540804,0.4685359524846871,0.9985042463874443
189,0.41983403125,0.39882884375,0.93,0.5,180,0.16,12.59999999999999,-5.825468122598721,0.9113209689556709,0.9959698085807596,-2.5257286443082556,-5.790185404856285,0.8784672975935385,0.9877492743267104
190,0.45585703125,0.32541284375,0.93,0.5,180,0.2,12.59999999999999,-5.188575741897975,0.8288294751821336,0.9977955201845075,-2.3025850929940455,-4.967724543254542,0.6933972689348187,0.9960321728422877
191,0.5026464375,0.203099140625,0.93,0.5,180,0.3,12.59999999999999,-4.378827111702192,0.6916993337947747,0.9982193412690908,-1.8971199848858813,-4.101792021330401,0.5063028592386939,0.9985132975436678
192,0.44375653125,0.37300540625,0.93,0.5,200,0.16,13.99999999999999,-6.054338843862791,0.948208630246925,0.9959195606267143,-2.5257286443082556,-5.9431275201032365,0.8755687400394083,0.9930070168896166
